frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,dtls.handshake.extension.len,dtls.handshake.extension.type,dtls.handshake.session_id,dtls.handshake.session_id_length,dtls.handshake.session_ticket_length,dtls.handshake.sig_hash_alg_len,dtls.handshake.sig_len,dtls.handshake.version,dtls.heartbeat_message.padding,dtls.heartbeat_message.payload_length,dtls.heartbeat_message.payload_length.invalid,dtls.record.content_type,dtls.record.content_type,dtls.record.length,dtls.record.sequence_number,dtls.record.version,dtls.change_cipher_spec,dtls.fragment.count,dtls.handshake.cert_type.types_len,dtls.handshake.certificate_length,dtls.handshake.certificates_length,dtls.handshake.cipher_suites_length,dtls.handshake.comp_methods_length,dtls.handshake.exponent_len,dtls.handshake.extension.len,dtls.handshake.extensions_alpn_str,dtls.handshake.extensions_alpn_str_len,dtls.handshake.extensions_key_share_client_length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.payload
"36","Dec  2, 2022 15:45:41.753312000 EST","101.0.0.10","102.0.0.15","6","477","463","1","0",,,,"64","65024","155","1","411","2","0","0x0018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66.800854000","0.000485000","0.031234000","0.000485000","485454502f312e3120343034204e6f7420466f756e640d0a446174653a204672692c2030322044656320323032322032303a34353a343120474d540d0a5365727665723a204170616368652f322e342e35342028556e6978290d0a436f6e74656e742d4c656e6774683a203139360d0a4b6565702d416c6976653a2074696d656f75743d352c206d61783d3130300d0a436f6e6e656374696f6e3a204b6565702d416c6976650d0a436f6e74656e742d547970653a20746578742f68746d6c3b20636861727365743d69736f2d383835392d310d0a0d0a3c21444f43545950452048544d4c205055424c494320222d2f2f494554462f2f4454442048544d4c20322e302f2f454e223e0a3c68746d6c3e3c686561643e0a3c7469746c653e343034204e6f7420466f756e643c2f7469746c653e0a3c2f686561643e3c626f64793e0a3c68313e4e6f7420466f756e643c2f68313e0a3c703e546865207265717565737465642055524c20776173206e6f7420666f756e64206f6e2074686973207365727665722e3c2f703e0a3c2f626f64793e3c2f68746d6c3e0a"
"37","Dec  2, 2022 15:45:41.783031000 EST","102.0.0.15","101.0.0.10","6","66","52","1","0",,,,"62","64128","412","155","0","2","0","0x0010","0.029719000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66.830573000","0.029719000","0.060953000","0.029719000",
"38","Dec  2, 2022 15:45:41.783157000 EST","102.0.0.15","101.0.0.10","6","66","52","1","0",,,,"62","64128","412","155","0","2","0","0x0011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66.830699000","0.000126000","0.061079000","0.000126000",
"39","Dec  2, 2022 15:45:41.783522000 EST","101.0.0.10","102.0.0.15","6","66","52","1","0",,,,"64","65024","156","412","0","2","0","0x0011","0.000365000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66.831064000","0.000365000","0.061444000","0.000365000",
"40","Dec  2, 2022 15:45:41.813516000 EST","102.0.0.15","101.0.0.10","6","66","52","1","0",,,,"62","64128","413","156","0","2","0","0x0010","0.029994000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66.861058000","0.029994000","0.091438000","0.029994000",
"41","Dec  2, 2022 15:45:42.126994000 EST","102.0.0.12","101.0.0.10","6","74","60","1","0",,,,"62","64240","0","0","0","3","0","0x0002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67.174536000","0.313478000","0.000000000","0.000000000",
"42","Dec  2, 2022 15:45:42.127280000 EST","101.0.0.10","102.0.0.12","6","74","60","1","0",,,,"64","65160","1","0","0","3","0","0x0012","0.000286000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67.174822000","0.000286000","0.000286000","0.000286000",
"43","Dec  2, 2022 15:45:42.157455000 EST","102.0.0.12","101.0.0.10","6","66","52","1","0",,,,"62","64256","1","1","0","3","0","0x0010","0.030175000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67.204997000","0.030175000","0.030461000","0.030175000",
"44","Dec  2, 2022 15:45:42.157549000 EST","102.0.0.12","101.0.0.10","6","220","206","1","0",,,,"62","64256","1","1","154","3","0","0x0018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,"67.205091000","0.000094000","0.030555000","0.000094000","474554202f7265736f7572636531302e68746d6c20485454502f312e310d0a486f73743a206576696c2e646e650d0a557365722d4167656e743a20707974686f6e2d72657175657374732f322e32382e310d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174650d0a4163636570743a202a2f2a0d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a"
"45","Dec  2, 2022 15:45:42.157927000 EST","101.0.0.10","102.0.0.12","6","66","52","1","0",,,,"64","65024","155","1","0","3","0","0x0010","0.000378000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67.205469000","0.000378000","0.030933000","0.000378000",
"46","Dec  2, 2022 15:45:42.158829000 EST","101.0.0.10","102.0.0.12","6","477","463","1","0",,,,"64","65024","155","1","411","3","0","0x0018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67.206371000","0.000902000","0.031835000","0.000902000","485454502f312e3120343034204e6f7420466f756e640d0a446174653a204672692c2030322044656320323032322032303a34353a343220474d540d0a5365727665723a204170616368652f322e342e35342028556e6978290d0a436f6e74656e742d4c656e6774683a203139360d0a4b6565702d416c6976653a2074696d656f75743d352c206d61783d3130300d0a436f6e6e656374696f6e3a204b6565702d416c6976650d0a436f6e74656e742d547970653a20746578742f68746d6c3b20636861727365743d69736f2d383835392d310d0a0d0a3c21444f43545950452048544d4c205055424c494320222d2f2f494554462f2f4454442048544d4c20322e302f2f454e223e0a3c68746d6c3e3c686561643e0a3c7469746c653e343034204e6f7420466f756e643c2f7469746c653e0a3c2f686561643e3c626f64793e0a3c68313e4e6f7420466f756e643c2f68313e0a3c703e546865207265717565737465642055524c20776173206e6f7420666f756e64206f6e2074686973207365727665722e3c2f703e0a3c2f626f64793e3c2f68746d6c3e0a"
"47","Dec  2, 2022 15:45:42.177788000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67.225330000","0.018959000",,,
"48","Dec  2, 2022 15:45:42.187937000 EST","102.0.0.12","101.0.0.10","6","66","52","1","0",,,,"62","64128","412","155","0","3","0","0x0010","0.029108000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67.235479000","0.010149000","0.060943000","0.029108000",
"49","Dec  2, 2022 15:45:42.188019000 EST","102.0.0.12","101.0.0.10","6","66","52","1","0",,,,"62","64128","412","155","0","3","0","0x0011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67.235561000","0.000082000","0.061025000","0.000082000",
"50","Dec  2, 2022 15:45:42.188425000 EST","101.0.0.10","102.0.0.12","6","66","52","1","0",,,,"64","65024","156","412","0","3","0","0x0011","0.000406000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67.235967000","0.000406000","0.061431000","0.000406000",
"51","Dec  2, 2022 15:45:42.218403000 EST","102.0.0.12","101.0.0.10","6","66","52","1","0",,,,"62","64128","413","156","0","3","0","0x0010","0.029978000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67.265945000","0.029978000","0.091409000","0.029978000",
"52","Dec  2, 2022 15:45:43.774079000 EST","102.0.0.13","101.0.0.10","6","74","60","1","0",,,,"62","64240","0","0","0","4","0","0x0002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68.821621000","1.555676000","0.000000000","0.000000000",
"53","Dec  2, 2022 15:45:43.774398000 EST","101.0.0.10","102.0.0.13","6","74","60","1","0",,,,"64","65160","1","0","0","4","0","0x0012","0.000319000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68.821940000","0.000319000","0.000319000","0.000319000",
"54","Dec  2, 2022 15:45:43.804447000 EST","102.0.0.13","101.0.0.10","6","66","52","1","0",,,,"62","64256","1","1","0","4","0","0x0010","0.030049000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68.851989000","0.030049000","0.030368000","0.030049000",
"55","Dec  2, 2022 15:45:43.804517000 EST","102.0.0.13","101.0.0.10","6","220","206","1","0",,,,"62","64256","1","1","154","4","0","0x0018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,"68.852059000","0.000070000","0.030438000","0.000070000","474554202f7265736f7572636531302e68746d6c20485454502f312e310d0a486f73743a206576696c2e646e650d0a557365722d4167656e743a20707974686f6e2d72657175657374732f322e32382e310d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174650d0a4163636570743a202a2f2a0d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a"
"56","Dec  2, 2022 15:45:43.804713000 EST","101.0.0.10","102.0.0.13","6","66","52","1","0",,,,"64","65024","155","1","0","4","0","0x0010","0.000196000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68.852255000","0.000196000","0.030634000","0.000196000",
"57","Dec  2, 2022 15:45:43.805398000 EST","101.0.0.10","102.0.0.13","6","477","463","1","0",,,,"64","65024","155","1","411","4","0","0x0018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68.852940000","0.000685000","0.031319000","0.000685000","485454502f312e3120343034204e6f7420466f756e640d0a446174653a204672692c2030322044656320323032322032303a34353a343320474d540d0a5365727665723a204170616368652f322e342e35342028556e6978290d0a436f6e74656e742d4c656e6774683a203139360d0a4b6565702d416c6976653a2074696d656f75743d352c206d61783d3130300d0a436f6e6e656374696f6e3a204b6565702d416c6976650d0a436f6e74656e742d547970653a20746578742f68746d6c3b20636861727365743d69736f2d383835392d310d0a0d0a3c21444f43545950452048544d4c205055424c494320222d2f2f494554462f2f4454442048544d4c20322e302f2f454e223e0a3c68746d6c3e3c686561643e0a3c7469746c653e343034204e6f7420466f756e643c2f7469746c653e0a3c2f686561643e3c626f64793e0a3c68313e4e6f7420466f756e643c2f68313e0a3c703e546865207265717565737465642055524c20776173206e6f7420666f756e64206f6e2074686973207365727665722e3c2f703e0a3c2f626f64793e3c2f68746d6c3e0a"
"58","Dec  2, 2022 15:45:43.834887000 EST","102.0.0.13","101.0.0.10","6","66","52","1","0",,,,"62","64128","412","155","0","4","0","0x0010","0.029489000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68.882429000","0.029489000","0.060808000","0.029489000",
"59","Dec  2, 2022 15:45:43.834972000 EST","102.0.0.13","101.0.0.10","6","66","52","1","0",,,,"62","64128","412","155","0","4","0","0x0011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68.882514000","0.000085000","0.060893000","0.000085000",
"60","Dec  2, 2022 15:45:43.835351000 EST","101.0.0.10","102.0.0.13","6","66","52","1","0",,,,"64","65024","156","412","0","4","0","0x0011","0.000379000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68.882893000","0.000379000","0.061272000","0.000379000",
"61","Dec  2, 2022 15:45:43.865256000 EST","102.0.0.13","101.0.0.10","6","66","52","1","0",,,,"62","64128","413","156","0","4","0","0x0010","0.029905000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68.912798000","0.029905000","0.091177000","0.029905000",
"62","Dec  2, 2022 15:45:48.535678000 EST","102.0.0.16","101.0.0.10","6","74","60","1","0",,,,"62","64240","0","0","0","5","0","0x0002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73.583220000","4.670422000","0.000000000","0.000000000",
"63","Dec  2, 2022 15:45:48.535939000 EST","101.0.0.10","102.0.0.16","6","74","60","1","0",,,,"64","65160","1","0","0","5","0","0x0012","0.000261000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73.583481000","0.000261000","0.000261000","0.000261000",
"64","Dec  2, 2022 15:45:48.566116000 EST","102.0.0.16","101.0.0.10","6","66","52","1","0",,,,"62","64256","1","1","0","5","0","0x0010","0.030177000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73.613658000","0.030177000","0.030438000","0.030177000",
"65","Dec  2, 2022 15:45:48.566175000 EST","102.0.0.16","101.0.0.10","6","220","206","1","0",,,,"62","64256","1","1","154","5","0","0x0018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,"73.613717000","0.000059000","0.030497000","0.000059000","474554202f7265736f7572636532302e68746d6c20485454502f312e310d0a486f73743a206576696c2e646e650d0a557365722d4167656e743a20707974686f6e2d72657175657374732f322e32382e310d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174650d0a4163636570743a202a2f2a0d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a"
"66","Dec  2, 2022 15:45:48.566339000 EST","101.0.0.10","102.0.0.16","6","66","52","1","0",,,,"64","65024","155","1","0","5","0","0x0010","0.000164000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73.613881000","0.000164000","0.030661000","0.000164000",
