frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,dtls.handshake.extension.len,dtls.handshake.extension.type,dtls.handshake.session_id,dtls.handshake.session_id_length,dtls.handshake.session_ticket_length,dtls.handshake.sig_hash_alg_len,dtls.handshake.sig_len,dtls.handshake.version,dtls.heartbeat_message.padding,dtls.heartbeat_message.payload_length,dtls.heartbeat_message.payload_length.invalid,dtls.record.content_type,dtls.record.content_type,dtls.record.length,dtls.record.sequence_number,dtls.record.version,dtls.change_cipher_spec,dtls.fragment.count,dtls.handshake.cert_type.types_len,dtls.handshake.certificate_length,dtls.handshake.certificates_length,dtls.handshake.cipher_suites_length,dtls.handshake.comp_methods_length,dtls.handshake.exponent_len,dtls.handshake.extension.len,dtls.handshake.extensions_alpn_str,dtls.handshake.extensions_alpn_str_len,dtls.handshake.extensions_key_share_client_length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.payload
"30","Dec 31, 1969 19:30:00.367670000 EST","101.0.0.10","5.2.72.101","6","132","132","1","0",,,,"64","119","2","1","92","3","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.249379000","0.000000000","0.247780000","0.000000000","485454502f312e3020323030204f4b0d0a5365727665723a2042617365485454502f302e3620507974686f6e2f332e382e31300d0a446174653a205361742c203031204a616e20323030302030303a33303a303020474d540d0a0d0a"
"31","Dec 31, 1969 19:30:00.367670000 EST","101.0.0.10","5.2.72.101","6","63","63","1","0",,,,"64","119","2","2","23","3","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.249379000","0.000000000","0.247780000","0.000000000","48656c6c6f20776f726c64095468726561642d3409350a"
"32","Dec 31, 1969 19:30:00.369207000 EST","46.59.65.88","101.0.0.10","6","201","201","1","0",,,,"64","1487","1","1","161","2","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,"0.250916000","0.001537000","0.250138000","0.149138000","474554202f7265736f7572636531302e68746d6c20485454502f312e310d0a486f73743a203130312e302e302e31303a383038300d0a557365722d4167656e743a20707974686f6e2d72657175657374732f322e32322e300d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174650d0a4163636570743a202a2f2a0d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a"
"33","Dec 31, 1969 19:30:00.369207000 EST","101.0.0.10","46.59.65.88","6","132","132","1","0",,,,"64","119","2","1","92","2","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.250916000","0.000000000","0.250138000","0.000000000","485454502f312e3020323030204f4b0d0a5365727665723a2042617365485454502f302e3620507974686f6e2f332e382e31300d0a446174653a205361742c203031204a616e20323030302030303a33303a303020474d540d0a0d0a"
"34","Dec 31, 1969 19:30:00.369207000 EST","101.0.0.10","46.59.65.88","6","63","63","1","0",,,,"64","119","2","2","23","2","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.250916000","0.000000000","0.250138000","0.000000000","48656c6c6f20776f726c64095468726561642d3309340a"
"35","Dec 31, 1969 19:30:00.459873000 EST","46.59.65.88","101.0.0.10","6","40","40","1","0",,,,"64","1487","3","4294967295","0","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.341582000","0.090666000","0.341582000","0.101000000",
"36","Dec 31, 1969 19:30:00.459873000 EST","101.0.0.10","46.59.65.88","6","40","40","1","0",,,,"64","119","0","3","0","0","0","0x0001",,"1","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.341582000","0.000000000","0.341582000","0.000000000",
"37","Dec 31, 1969 19:30:00.466206000 EST","5.2.72.101","101.0.0.10","6","40","40","1","0",,,,"64","1008","3","4294967295","0","1","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.347915000","0.006333000","0.347804000","0.101000000",
"38","Dec 31, 1969 19:30:00.466206000 EST","101.0.0.10","5.2.72.101","6","40","40","1","0",,,,"64","119","0","3","0","1","0","0x0001",,"1","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.347915000","0.000000000","0.347804000","0.000000000",
"39","Dec 31, 1969 19:30:00.468670000 EST","5.2.72.101","101.0.0.10","6","40","40","1","0",,,,"64","1008","3","4294967295","0","3","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.350379000","0.002464000","0.348780000","0.101000000",
"40","Dec 31, 1969 19:30:00.468670000 EST","101.0.0.10","5.2.72.101","6","40","40","1","0",,,,"64","119","0","3","0","3","0","0x0001",,"1","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.350379000","0.000000000","0.348780000","0.000000000",
"41","Dec 31, 1969 19:30:00.470207000 EST","46.59.65.88","101.0.0.10","6","40","40","1","0",,,,"64","1487","3","4294967295","0","2","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.351916000","0.001537000","0.351138000","0.101000000",
"42","Dec 31, 1969 19:30:00.470207000 EST","101.0.0.10","46.59.65.88","6","40","40","1","0",,,,"64","119","0","3","0","2","0","0x0001",,"1","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.351916000","0.000000000","0.351138000","0.000000000",
"43","Dec 31, 1969 19:30:00.482545000 EST","46.59.65.88","101.0.0.10","6","201","201","1","0",,,,"64","1487","1","1","161","4","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,"0.364254000","0.012338000","0.329030000","0.228030000","474554202f7265736f7572636532302e68746d6c20485454502f312e310d0a486f73743a203130312e302e302e31303a383038300d0a557365722d4167656e743a20707974686f6e2d72657175657374732f322e32322e300d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174650d0a4163636570743a202a2f2a0d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a"
"44","Dec 31, 1969 19:30:00.482545000 EST","101.0.0.10","46.59.65.88","6","132","132","1","0",,,,"64","119","2","1","92","4","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.364254000","0.000000000","0.329030000","0.000000000","485454502f312e3020323030204f4b0d0a5365727665723a2042617365485454502f302e3620507974686f6e2f332e382e31300d0a446174653a205361742c203031204a616e20323030302030303a33303a303020474d540d0a0d0a"
"45","Dec 31, 1969 19:30:00.482545000 EST","101.0.0.10","46.59.65.88","6","63","63","1","0",,,,"64","119","2","2","23","4","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.364254000","0.000000000","0.329030000","0.000000000","48656c6c6f20776f726c64095468726561642d3509330a"
"46","Dec 31, 1969 19:30:00.482545000 EST","46.59.65.88","101.0.0.10","6","201","201","1","0",,,,"64","1487","1","1","161","5","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,"0.364254000","0.000000000","0.329030000","0.228030000","474554202f7265736f7572636532302e68746d6c20485454502f312e310d0a486f73743a203130312e302e302e31303a383038300d0a557365722d4167656e743a20707974686f6e2d72657175657374732f322e32322e300d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174650d0a4163636570743a202a2f2a0d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a"
"47","Dec 31, 1969 19:30:00.482545000 EST","101.0.0.10","46.59.65.88","6","132","132","1","0",,,,"64","119","2","1","92","5","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.364254000","0.000000000","0.329030000","0.000000000","485454502f312e3020323030204f4b0d0a5365727665723a2042617365485454502f302e3620507974686f6e2f332e382e31300d0a446174653a205361742c203031204a616e20323030302030303a33303a303020474d540d0a0d0a"
"48","Dec 31, 1969 19:30:00.482545000 EST","101.0.0.10","46.59.65.88","6","63","63","1","0",,,,"64","119","2","2","23","5","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.364254000","0.000000000","0.329030000","0.000000000","48656c6c6f20776f726c64095468726561642d3609320a"
"49","Dec 31, 1969 19:30:00.559873000 EST","46.59.65.88","101.0.0.10","6","40","40","1","0",,,,"64","1487","3","4294967295","0","0","0","0x0011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.441582000","0.077328000","0.441582000","0.100000000",
"50","Dec 31, 1969 19:30:00.559873000 EST","46.59.65.88","101.0.0.10","6","40","40","1","0",,,,"64","1487","0","2","0","0","0","0x0001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.441582000","0.000000000","0.441582000","0.000000000",
"51","Dec 31, 1969 19:30:00.559873000 EST","101.0.0.10","46.59.65.88","6","40","40","1","0",,,,"64","1487","2","4294967295","0","0","0","0x0011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.441582000","0.000000000","0.441582000","0.000000000",
"52","Dec 31, 1969 19:30:00.566206000 EST","5.2.72.101","101.0.0.10","6","40","40","1","0",,,,"64","1008","3","4294967295","0","1","0","0x0011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.447915000","0.006333000","0.447804000","0.100000000",
"53","Dec 31, 1969 19:30:00.566206000 EST","5.2.72.101","101.0.0.10","6","40","40","1","0",,,,"64","1008","0","2","0","1","0","0x0001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.447915000","0.000000000","0.447804000","0.000000000",
"54","Dec 31, 1969 19:30:00.566206000 EST","101.0.0.10","5.2.72.101","6","40","40","1","0",,,,"64","1008","2","4294967295","0","1","0","0x0011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.447915000","0.000000000","0.447804000","0.000000000",
"55","Dec 31, 1969 19:30:00.568670000 EST","5.2.72.101","101.0.0.10","6","40","40","1","0",,,,"64","1008","3","4294967295","0","3","0","0x0011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.450379000","0.002464000","0.448780000","0.100000000",
"56","Dec 31, 1969 19:30:00.568670000 EST","5.2.72.101","101.0.0.10","6","40","40","1","0",,,,"64","1008","0","2","0","3","0","0x0001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.450379000","0.000000000","0.448780000","0.000000000",
"57","Dec 31, 1969 19:30:00.568670000 EST","101.0.0.10","5.2.72.101","6","40","40","1","0",,,,"64","1008","2","4294967295","0","3","0","0x0011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.450379000","0.000000000","0.448780000","0.000000000",
"58","Dec 31, 1969 19:30:00.570207000 EST","46.59.65.88","101.0.0.10","6","40","40","1","0",,,,"64","1487","3","4294967295","0","2","0","0x0011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.451916000","0.001537000","0.451138000","0.100000000",
"59","Dec 31, 1969 19:30:00.570207000 EST","46.59.65.88","101.0.0.10","6","40","40","1","0",,,,"64","1487","0","2","0","2","0","0x0001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.451916000","0.000000000","0.451138000","0.000000000",
"60","Dec 31, 1969 19:30:00.570207000 EST","101.0.0.10","46.59.65.88","6","40","40","1","0",,,,"64","1487","2","4294967295","0","2","0","0x0011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.451916000","0.000000000","0.451138000","0.000000000",
"61","Dec 31, 1969 19:30:00.583545000 EST","46.59.65.88","101.0.0.10","6","40","40","1","0",,,,"64","1487","3","4294967295","0","4","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.465254000","0.013338000","0.430030000","0.101000000",
"62","Dec 31, 1969 19:30:00.583545000 EST","101.0.0.10","46.59.65.88","6","40","40","1","0",,,,"64","119","0","3","0","4","0","0x0001",,"1","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.465254000","0.000000000","0.430030000","0.000000000",
"63","Dec 31, 1969 19:30:00.583545000 EST","46.59.65.88","101.0.0.10","6","40","40","1","0",,,,"64","1487","3","4294967295","0","5","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.465254000","0.000000000","0.430030000","0.101000000",
"64","Dec 31, 1969 19:30:00.583545000 EST","101.0.0.10","46.59.65.88","6","40","40","1","0",,,,"64","119","0","3","0","5","0","0x0001",,"1","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.465254000","0.000000000","0.430030000","0.000000000",
"65","Dec 31, 1969 19:30:00.683545000 EST","46.59.65.88","101.0.0.10","6","40","40","1","0",,,,"64","1487","3","4294967295","0","4","0","0x0011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.565254000","0.100000000","0.530030000","0.100000000",
"66","Dec 31, 1969 19:30:00.683545000 EST","46.59.65.88","101.0.0.10","6","40","40","1","0",,,,"64","1487","3","4294967295","0","5","0","0x0011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.565254000","0.000000000","0.530030000","0.100000000",
"67","Dec 31, 1969 19:30:00.683545000 EST","46.59.65.88","101.0.0.10","6","40","40","1","0",,,,"64","1487","0","2","0","4","0","0x0001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.565254000","0.000000000","0.530030000","0.000000000",
"68","Dec 31, 1969 19:30:00.683545000 EST","101.0.0.10","46.59.65.88","6","40","40","1","0",,,,"64","1487","2","4294967295","0","4","0","0x0011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.565254000","0.000000000","0.530030000","0.000000000",
"69","Dec 31, 1969 19:30:00.683545000 EST","46.59.65.88","101.0.0.10","6","40","40","1","0",,,,"64","1487","0","2","0","5","0","0x0001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.565254000","0.000000000","0.530030000","0.000000000",
"70","Dec 31, 1969 19:30:00.683545000 EST","101.0.0.10","46.59.65.88","6","40","40","1","0",,,,"64","1487","2","4294967295","0","5","0","0x0011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.565254000","0.000000000","0.530030000","0.000000000",
"71","Dec 31, 1969 19:30:01.153515000 EST","46.59.65.88","101.0.0.10","6","40","40","1","0",,,,"64","119","0","0","0","6","0","0x0002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.035224000","0.469970000","1.000000000","1.000000000",
"72","Dec 31, 1969 19:30:01.153515000 EST","101.0.0.10","46.59.65.88","6","40","40","1","0",,,,"64","119","1","0","0","6","0","0x0012","1.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.035224000","0.000000000","1.000000000","0.000000000",
