frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,dtls.handshake.extension.len,dtls.handshake.extension.type,dtls.handshake.session_id,dtls.handshake.session_id_length,dtls.handshake.session_ticket_length,dtls.handshake.sig_hash_alg_len,dtls.handshake.sig_len,dtls.handshake.version,dtls.heartbeat_message.padding,dtls.heartbeat_message.payload_length,dtls.heartbeat_message.payload_length.invalid,dtls.record.content_type,dtls.record.content_type,dtls.record.length,dtls.record.sequence_number,dtls.record.version,dtls.change_cipher_spec,dtls.fragment.count,dtls.handshake.cert_type.types_len,dtls.handshake.certificate_length,dtls.handshake.certificates_length,dtls.handshake.cipher_suites_length,dtls.handshake.comp_methods_length,dtls.handshake.exponent_len,dtls.handshake.extension.len,dtls.handshake.extensions_alpn_str,dtls.handshake.extensions_alpn_str_len,dtls.handshake.extensions_key_share_client_length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.payload
"11","Dec  2, 2022 15:45:38.955478000 EST","172.17.0.10","172.16.1.10","17","82","68","0","0",,,,"62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5563","47.885908000","0.029737000",,,
"12","Dec  2, 2022 15:45:38.955561000 EST","172.17.0.10","172.16.1.10","17","78","64","0","0",,,,"62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6404","47.885991000","0.000083000",,,
"13","Dec  2, 2022 15:45:38.956203000 EST","172.16.1.10","172.17.0.10","17","121","107","0","0",,,,"64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53","47.886633000","0.000642000",,,
"14","Dec  2, 2022 15:45:38.956268000 EST","172.16.1.10","172.17.0.10","17","154","140","0","0",,,,"64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53","47.886698000","0.000065000",,,
"15","Dec  2, 2022 15:45:38.985997000 EST","172.17.0.10","172.16.1.10","17","82","68","0","0",,,,"62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39356","47.916427000","0.029729000",,,
"16","Dec  2, 2022 15:45:38.986071000 EST","172.17.0.10","172.16.1.10","17","82","68","0","0",,,,"62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47438","47.916501000","0.000074000",,,
"17","Dec  2, 2022 15:45:38.986705000 EST","172.16.1.10","172.17.0.10","17","150","136","0","0",,,,"64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53","47.917135000","0.000634000",,,
"18","Dec  2, 2022 15:45:38.986755000 EST","172.16.1.10","172.17.0.10","17","148","134","0","0",,,,"64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53","47.917185000","0.000050000",,,
"19","Dec  2, 2022 15:45:39.016436000 EST","172.17.0.10","172.16.1.10","17","82","68","0","0",,,,"62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34172","47.946866000","0.029681000",,,
"20","Dec  2, 2022 15:45:39.017054000 EST","172.16.1.10","172.17.0.10","17","161","147","0","0",,,,"64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53","47.947484000","0.000618000",,,
"21","Dec  2, 2022 15:45:44.035438000 EST",,,,"42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52.965868000","5.018384000",,,
"22","Dec  2, 2022 15:45:44.041542000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52.971972000","0.006104000",,,
"23","Dec  2, 2022 15:45:45.580002000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"54.510432000","1.538460000",,,
"24","Dec  2, 2022 15:45:59.788629000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68.719059000","14.208627000",,,
"25","Dec  2, 2022 15:46:03.491509000 EST",,,,"70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72.421939000","3.702880000",,,
"26","Dec  2, 2022 15:46:13.940213000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82.870643000","10.448704000",,,
"27","Dec  2, 2022 15:46:26.955278000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95.885708000","13.015065000",,,
"28","Dec  2, 2022 15:46:41.141441000 EST",,,,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110.071871000","14.186163000",,,
"29","Dec  2, 2022 15:46:47.918341000 EST",,,,"380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116.848771000","6.776900000",,,
