SrcId,Rank,StartTime,LastTime,Trans,Flgs,Seq,Dur,RunTime,IdleTime,Mean,StdDev,Sum,Min,Max,SrcMac,DstMac,SrcOui,DstOui,SrcAddr,DstAddr,Proto,Sport,Dport,sTos,dTos,sDSb,dDSb,sCo,dCo,sTtl,dTtl,sHops,dHops,sIpId,dIpId,sMpls,dMpls,AutoId,sAS,dAS,iAS,Cause,NStrok,sNStrok,dNStrok,TotPkts,SrcPkts,DstPkts,TotBytes,SrcBytes,DstBytes,TotAppByte,SAppBytes,DAppBytes,PCRatio,Load,SrcLoad,DstLoad,Loss,SrcLoss,DstLoss,pLoss,Retrans,SrcRetra,DstRetra,pRetran,SrcGap,DstGap,Rate,SrcRate,DstRate,Dir,SIntPkt,SIntDist,SIntPktAct,SIntActDist,SIntPktIdl,SIntIdlDist,DIntPkt,DIntDist,DIntPktAct,DIntActDist,DIntPktIdl,DIntIdlDist,SrcJitter,SrcJitAct,DstJitter,DstJitAct,State,Label,srcUdata,dstUdata,SrcWin,DstWin,sVlan,dVlan,sVid,dVid,sVpri,dVpri,SRange,ERange,SrcTCPBase,DstTCPBase,TcpRtt,SynAck,AckDat,TcpOpt,Inode,Offset,sMeanPktSz,dMeanPktSz,sPktSz,sMaxPktSz,dPktSz,dMaxPktSz,sMinPktSz,dMinPktSz,dMinPktSz
0.0.0.0,,11:36:50.309339,11:36:50.308808,,          ,0,0.000531,,,,,,,,,,,,0,0,man,0,0,,,,,,,,,,,,,,,0,,,,Start,,,,0,0,0,0,0,0,0,0,0,,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,STA,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0,0.000000,0.000000,,,,,,,
0.0.0.0,11,19:04:28.326714,19:04:28.326714,0,          ,3,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,,,,,,,102.0.0.15,51.15.54.117,tcp,17501,9001,,,,,,,,,,,,,,,0,,,,Status,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,2232,0.000000,0.000000,,,,,,,
0.0.0.0,12,19:04:34.384153,19:04:34.384153,1,   d      ,4,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,102.0.0.15,46.59.65.88,tcp,38697,9001,0,0,cs0,cs0,,,64,64,0,0,0x0000,0x0000,,,0,,,,Status,,,,2,1,1,616,40,576,0,0,0,-0.000000,0.000000,0.000000,0.000000,1,0,1,33.333333,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,CON,,,,1487,119,,,,,,,,,1055,1465,0.100000,0.100000,0.000000,,,2444,40.000000,576.000000,,,,,,,
0.0.0.0,13,19:04:34.711153,19:04:34.711153,0,          ,3,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,,,,,,,102.0.0.15,51.15.54.117,tcp,17501,9001,,,,,,,,,,,,,,,0,,,,Status,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,2648,0.000000,0.000000,,,,,,,
0.0.0.0,14,19:04:40.003153,19:04:40.003153,0,          ,3,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,,,,,,,102.0.0.15,51.15.54.117,tcp,17501,9001,,,,,,,,,,,,,,,0,,,,Status,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,2860,0.000000,0.000000,,,,,,,
0.0.0.0,15,19:04:41.439474,19:04:41.439474,1,   d      ,4,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,102.0.0.15,46.59.65.88,tcp,38697,9001,0,0,cs0,cs0,,,64,64,0,0,0x0000,0x0000,,,0,,,,Status,,,,2,1,1,616,40,576,0,0,0,-0.000000,0.000000,0.000000,0.000000,1,0,1,33.333333,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,CON,,,,1487,119,,,,,,,,,1055,1465,0.100000,0.100000,0.000000,,,3072,40.000000,576.000000,,,,,,,
0.0.0.0,16,19:04:47.753474,19:04:47.753474,0,          ,4,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,,,,,,,102.0.0.15,46.59.65.88,tcp,38697,9001,,,,,,,,,,,,,,,0,,,,Status,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,3276,0.000000,0.000000,,,,,,,
0.0.0.0,17,19:04:48.401474,19:04:48.401474,0,          ,3,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,,,,,,,102.0.0.15,51.15.54.117,tcp,17501,9001,,,,,,,,,,,,,,,0,,,,Status,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,3488,0.000000,0.000000,,,,,,,
0.0.0.0,18,19:04:56.330047,19:04:56.330047,0,          ,4,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,,,,,,,102.0.0.15,46.59.65.88,tcp,38697,9001,,,,,,,,,,,,,,,0,,,,Status,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,3700,0.000000,0.000000,,,,,,,
0.0.0.0,19,19:04:59.195310,19:04:59.195310,0,          ,3,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,,,,,,,102.0.0.15,51.15.54.117,tcp,17501,9001,,,,,,,,,,,,,,,0,,,,Status,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,3912,0.000000,0.000000,,,,,,,
0.0.0.0,20,19:05:04.722883,19:05:04.722883,0,          ,3,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,,,,,,,102.0.0.15,51.15.54.117,tcp,17501,9001,,,,,,,,,,,,,,,0,,,,Status,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,4124,0.000000,0.000000,,,,,,,
0.0.0.0,21,19:05:05.981065,19:05:05.981065,0,          ,4,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,,,,,,,102.0.0.15,46.59.65.88,tcp,38697,9001,,,,,,,,,,,,,,,0,,,,Status,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,4336,0.000000,0.000000,,,,,,,
0.0.0.0,22,19:05:10.063621,19:05:10.063621,0,          ,3,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,,,,,,,102.0.0.15,51.15.54.117,tcp,17501,9001,,,,,,,,,,,,,,,0,,,,Status,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,4548,0.000000,0.000000,,,,,,,
0.0.0.0,23,19:05:10.063065,19:05:10.063065,0,          ,5,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,,,,,,,100.0.0.3,102.0.0.15,tcp,9001,61620,,,,,,,,,,,,,,,0,,,,Start,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,4760,0.000000,0.000000,,,,,,,
0.0.0.0,24,19:05:12.057136,19:05:12.057136,0,          ,6,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,,,,,,,5.2.72.101,102.0.0.15,tcp,9001,28146,,,,,,,,,,,,,,,0,,,,Start,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,4972,0.000000,0.000000,,,,,,,
0.0.0.0,25,19:05:15.203065,19:05:15.203065,1,   d      ,4,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,102.0.0.15,46.59.65.88,tcp,38697,9001,0,0,cs0,cs0,,,64,64,0,0,0x0000,0x0000,,,0,,,,Status,,,,2,1,1,616,40,576,0,0,0,-0.000000,0.000000,0.000000,0.000000,1,0,1,33.333333,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,CON,,,,1487,119,,,,,,,,,1055,1465,0.100000,0.100000,0.000000,,,5184,40.000000,576.000000,,,,,,,
0.0.0.0,26,19:05:20.055065,19:05:20.055065,0,          ,3,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,,,,,,,102.0.0.15,51.15.54.117,tcp,17501,9001,,,,,,,,,,,,,,,0,,,,Status,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,5388,0.000000,0.000000,,,,,,,
0.0.0.0,27,19:05:20.695065,19:05:20.695065,0,          ,4,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,,,,,,,102.0.0.15,46.59.65.88,tcp,38697,9001,,,,,,,,,,,,,,,0,,,,Status,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,5600,0.000000,0.000000,,,,,,,
0.0.0.0,28,19:05:27.475065,19:05:27.475065,0,          ,4,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,,,,,,,102.0.0.15,46.59.65.88,tcp,38697,9001,,,,,,,,,,,,,,,0,,,,Status,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,5812,0.000000,0.000000,,,,,,,
0.0.0.0,29,19:05:29.151065,19:05:29.151065,1,   d      ,3,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,102.0.0.15,51.15.54.117,tcp,17501,9001,0,0,cs0,cs0,,,64,64,0,0,0x0000,0x0000,,,0,,,,Status,,,,2,1,1,616,40,576,0,0,0,-0.000000,0.000000,0.000000,0.000000,1,0,1,33.333333,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,CON,,,,916,119,,,,,,,,,1055,1465,0.100000,0.100000,0.000000,,,6024,40.000000,576.000000,,,,,,,
0.0.0.0,30,19:05:35.982065,19:05:35.982065,0,          ,4,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,,,,,,,102.0.0.15,46.59.65.88,tcp,38697,9001,,,,,,,,,,,,,,,0,,,,Status,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,6228,0.000000,0.000000,,,,,,,
0.0.0.0,31,19:05:36.143065,19:05:36.143065,0,          ,3,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,,,,,,,102.0.0.15,51.15.54.117,tcp,17501,9001,,,,,,,,,,,,,,,0,,,,Status,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,6440,0.000000,0.000000,,,,,,,
0.0.0.0,32,19:05:42.266065,19:05:42.266065,1,   d      ,3,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,102.0.0.15,51.15.54.117,tcp,17501,9001,0,0,cs0,cs0,,,64,64,0,0,0x0000,0x0000,,,0,,,,Status,,,,2,1,1,616,40,576,0,0,0,-0.000000,0.000000,0.000000,0.000000,1,0,1,33.333333,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,CON,,,,916,119,,,,,,,,,1055,1465,0.100000,0.100000,0.000000,,,6652,40.000000,576.000000,,,,,,,
0.0.0.0,33,19:05:42.350065,19:05:42.350065,0,          ,4,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,,,,,,,102.0.0.15,46.59.65.88,tcp,38697,9001,,,,,,,,,,,,,,,0,,,,Status,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,6856,0.000000,0.000000,,,,,,,
0.0.0.0,34,19:05:48.674136,19:05:48.674136,1,   d      ,3,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,102.0.0.15,51.15.54.117,tcp,17501,9001,0,0,cs0,cs0,,,64,64,0,0,0x0000,0x0000,,,0,,,,Status,,,,2,1,1,616,40,576,0,0,0,-0.000000,0.000000,0.000000,0.000000,1,0,1,33.333333,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,CON,,,,916,119,,,,,,,,,1055,1465,0.100000,0.100000,0.000000,,,7068,40.000000,576.000000,,,,,,,
0.0.0.0,35,19:05:53.363065,19:05:53.363065,0,          ,4,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,,,,,,,102.0.0.15,46.59.65.88,tcp,38697,9001,,,,,,,,,,,,,,,0,,,,Status,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,7272,0.000000,0.000000,,,,,,,
0.0.0.0,36,19:05:56.882136,19:05:56.882136,1,   d      ,3,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,102.0.0.15,51.15.54.117,tcp,17501,9001,0,0,cs0,cs0,,,64,64,0,0,0x0000,0x0000,,,0,,,,Status,,,,2,1,1,616,40,576,0,0,0,-0.000000,0.000000,0.000000,0.000000,1,0,1,33.333333,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,CON,,,,916,119,,,,,,,,,1055,1465,0.100000,0.100000,0.000000,,,7484,40.000000,576.000000,,,,,,,
0.0.0.0,37,19:05:59.508737,19:05:59.508737,1,   d      ,4,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,102.0.0.15,46.59.65.88,tcp,38697,9001,0,0,cs0,cs0,,,64,64,0,0,0x0000,0x0000,,,0,,,,Status,,,,2,1,1,616,40,576,0,0,0,-0.000000,0.000000,0.000000,0.000000,1,0,1,33.333333,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,CON,,,,1487,119,,,,,,,,,1055,1465,0.100000,0.100000,0.000000,,,7688,40.000000,576.000000,,,,,,,
0.0.0.0,38,19:06:05.043737,19:06:05.043737,0,          ,4,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,,,,,,,102.0.0.15,46.59.65.88,tcp,38697,9001,,,,,,,,,,,,,,,0,,,,Status,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,7892,0.000000,0.000000,,,,,,,
0.0.0.0,39,19:06:05.243737,19:06:05.243737,0,          ,3,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,,,,,,,102.0.0.15,51.15.54.117,tcp,17501,9001,,,,,,,,,,,,,,,0,,,,Status,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,8104,0.000000,0.000000,,,,,,,
0.0.0.0,40,19:06:11.283737,19:06:11.283737,1,   d      ,3,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,102.0.0.15,51.15.54.117,tcp,17501,9001,0,0,cs0,cs0,,,64,64,0,0,0x0000,0x0000,,,0,,,,Status,,,,2,1,1,616,40,576,0,0,0,-0.000000,0.000000,0.000000,0.000000,1,0,1,33.333333,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,CON,,,,916,119,,,,,,,,,1055,1465,0.100000,0.100000,0.000000,,,8316,40.000000,576.000000,,,,,,,
0.0.0.0,41,19:06:12.179473,19:06:12.179473,1,   d      ,4,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,102.0.0.15,46.59.65.88,tcp,38697,9001,0,0,cs0,cs0,,,64,64,0,0,0x0000,0x0000,,,0,,,,Status,,,,2,1,1,616,40,576,0,0,0,-0.000000,0.000000,0.000000,0.000000,1,0,1,33.333333,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,   ->,,,,,,,,,,,,,,,,,CON,,,,1487,119,,,,,,,,,1055,1465,0.100000,0.100000,0.000000,,,8520,40.000000,576.000000,,,,,,,
0.0.0.0,42,19:06:16.510473,19:06:16.510473,0,          ,3,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,,,,,,,102.0.0.15,51.15.54.117,tcp,17501,9001,,,,,,,,,,,,,,,0,,,,Status,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,8724,0.000000,0.000000,,,,,,,
0.0.0.0,43,19:06:18.232473,19:06:18.232473,0,          ,4,0.000000,0.000000,1677602176.000000,0.000000,0.000000,0.000000,,,,,,,102.0.0.15,46.59.65.88,tcp,38697,9001,,,,,,,,,,,,,,,0,,,,Status,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,8936,0.000000,0.000000,,,,,,,
